카테고리,상품명,상품URL,브랜드,품번,성별,시즌,1달간 조회수,1년간 구매수,상품판매가,할인율,상세이미지,스냅사진
니트/스웨터,다니엘 오픈 카라 니트 반팔 - 9COL,https://www.musinsa.com/app/goods/1943264,어반드레스,AV42KN03,공용,2021 SS,1달간 2.8천 회 이상 조회,1년간 1.7천 개 이상 구매,25000,50%,"https://image.musinsa.com/images/prd_img/2022052615032300000067242.jpg, https://image.musinsa.com/images/prd_img/2023061315083100000022239.jpg, https://image.musinsa.com/images/prd_img/2022052615041300000012532.jpg, https://image.musinsa.com/images/prd_img/2022052615043500000082360.jpg, https://image.musinsa.com/images/prd_img/2023061315105200000083184.jpg, https://image.musinsa.com/images/prd_img/2023061315105200000063441.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20210510/1943264/1943264_17151274027511_320.jpg, https://image.msscdn.net/thumbnails/mfile_s01/_shopstaff/list.staff_61403435770a7.jpg?w=390, https://image.msscdn.net/thumbnails/mfile_s01/_shopstaff/list.staff_60b42f2055af3.jpg?w=390, https://image.msscdn.net/thumbnails/images/codimap/list/2024070811020500000016528.jpg?w=390"
니트/스웨터,XTK016 대퍼딜 꽈배기 니트 (BRICK),https://www.musinsa.com/app/goods/1942699,엑스톤즈,xtk016bi,공용,2024 SS,1달간 1.3천 회 이상 조회,1년간 550개 이상 구매,39200,20%,"https://xtonz1.cafe24.com/img/21SS/xtonz21ss1st_1.jpg, https://xtonz1.cafe24.com/img/21SS/xtonz21ss1st_2.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_bi_3.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_bi_4.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_bi_5.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_bi_6.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_7.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_bi_8.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_9.jpg, https://xtonz1.cafe24.com/img/21SS/xtk016/xtk016_10.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20210510/1942699/1942699_1_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/07/21/d6ca2a7845fa48e5993fd17af57f1e90.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/06/29/fe6442b222b84da8882b704d7f954fb5.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/06/13/d910c8c3911a43fca4aa39c4684c1671.jpg?w=390, https://image.msscdn.net/thumbnails/images/style/list/2024061015363900000061842.jpg?w=390"
니트/스웨터,CROPPED HAIRY KNIT - MELANGE,https://www.musinsa.com/app/goods/2684357,노매뉴얼,NM43KT01M1ML,공용,2024 FW,1달간 600회 이상 조회,1년간 2.2천 개 이상 구매,79570,27%,"https://image.msscdn.net/images/prd_img/202408161547387881209779666bef60ac06a2.jpg, https://image.msscdn.net/images/prd_img/202408161547393230516926966bef60b4edf5.jpg, https://image.msscdn.net/images/prd_img/202408161547391625121944666bef60b27adb.jpg, https://image.msscdn.net/images/prd_img/202408161547385814907466066bef60a8df7c.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20220727/2684357/2684357_17237908061016_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/04/03/22218b58d50c4d178b072f77d0b000ed.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/18/023793bbcdca4e75bbcc32a3f4d71189.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/02/24/01aab99916ec42d48b8a1ae24c5cd2cf.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/01/23/4f30530907d44aaca8064d283ce1156f.jpg?w=390"
니트/스웨터,000 Black Knit Plain Pattern Button Collar Shirts,https://www.musinsa.com/app/goods/2469000,론트,0,남,2022 SS,1달간 550회 이상 조회,1년간 50개 이상 구매,79000,,https://image.musinsa.com/images/prd_img/2022052610334200000032443.jpg,"https://image.msscdn.net/thumbnails/images/goods_img/20220406/2469000/2469000_1_320.jpg, https://image.msscdn.net/thumbnails/snap/images/2024/08/22/2a6809040a9c4bd2bf74cb6822f2af4d.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/08/29/7c76959f0db94264a821de33ff8562ad.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/08/21/76e7f055da444daea9032e44a53b5f2f.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/06/01/4536e06ade1c42b7bdb7e048c39be1d0.jpg?w=390"
니트/스웨터,하프 집업 리브 니트 탑_블랙,https://www.musinsa.com/app/goods/2357448,블론드나인,B22S-23004,남,2022 SS,1달간 200회 이상 조회,1년간 1.3천 개 이상 구매,39800,41%,"https://image.musinsa.com/images/prd_img/2022021811230900000069845.jpg, https://image.musinsa.com/images/prd_img/2022021811231700000016167.jpg, https://image.musinsa.com/images/prd_img/2022021811232400000090214.jpg, https://image.musinsa.com/images/prd_img/2022021811232700000058392.jpg, https://image.musinsa.com/images/prd_img/2022021811233000000060472.jpg, https://image.musinsa.com/images/prd_img/2022022511432600000085688.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20220214/2357448/2357448_1_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/05/07/e8a347c29361479982e83ab231267d1c.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/04/21/83c5fed3dc0a4326ba34353c3146fb77.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/02/27/9c1a6c070def4379a58b1bc8c749fe24.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/02/13/e0dbea13bc7b47469f1560a5307e12a0.jpg?w=390"
니트/스웨터,[송필드 PICK]THUNDER 브러쉬드 니트 - 핑크,https://www.musinsa.com/app/goods/3442679,슈퍼서브,IOWHEGOWQE,공용,,1달간 3.1천 회 이상 조회,1년간 6.5천 개 이상 구매,64900,12%,"https://image.msscdn.net/images/prd_img/202408231225312278417342666c8012b37a08.png, https://image.msscdn.net/images/prd_img/202408230955488681508460866c7de14d3f3c.png, https://image.musinsa.com/images/prd_img/2023081700001100000089158.jpg, https://image.musinsa.com/images/prd_img/2023081700001200000069435.jpg, https://image.msscdn.net/images/prd_img/202408231225314328772707266c8012b69af4.jpg, https://image.msscdn.net/images/prd_img/202408231225314472785159966c8012b6d334.jpg, https://image.musinsa.com/images/prd_img/2023082416010400000081140.jpg, https://image.msscdn.net/images/prd_img/202408231225309192474092166c8012ae06d8.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20230803/3442679/3442679_16923249991299_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/21/48ccfa2d4bed41bbaa2ee79f038924bd.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/11/f39c19eae5cb42faa6def5f446e6f634.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/05/402d9dacbaed4eb5ba093c21e65f8be2.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/02/22/4ac045fc26804e1881feceecd8fed6bb.jpg?w=390"
니트/스웨터,우먼즈 리브드 슬림 터틀 넥 니트 [아이보리],https://www.musinsa.com/app/goods/1595553,무신사 스탠다드 우먼,MWJWP601-IV,여,,1달간 200회 이상 조회,1년간 1.1천 개 이상 구매,35900,,"https://image.musinsa.com/images/prd_img/2020122412115500000000995.jpg, https://image.musinsa.com/images/prd_img/2020100811561600000059166.jpg, https://image.musinsa.com/images/prd_img/2020100811561700000000448.jpg, https://image.musinsa.com/images/prd_img/2022091917242900000049707.jpg, https://image.musinsa.com/images/prd_img/2020102711272900000047417.jpg, https://image.musinsa.com/images/prd_img/2020112616530300000044262.jpg, https://image.musinsa.com/images/prd_img/2020100811561800000020030.jpg, https://image.musinsa.com/images/prd_img/2020122412115500000022930.jpg, https://image.musinsa.com/images/prd_img/2020100811561800000098899.jpg, https://image.musinsa.com/images/prd_img/2020100811561700000075990.jpg, https://image.musinsa.com/images/prd_img/2020100811561700000044369.jpg, https://image.musinsa.com/images/prd_img/2020100811561600000004703.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20200910/1595553/1595553_1_320.jpg, https://image.msscdn.net/thumbnails/images/style/list/2024040115564300000081798.jpg?w=390, https://image.msscdn.net/thumbnails/images/style/list/2024040118353400000093615.jpg?w=390, https://image.msscdn.net/thumbnails/images/style/list/2024040118313900000026236.jpg?w=390, https://image.msscdn.net/thumbnails/images/style/list/2024032518255600000060926.jpg?w=390"
니트/스웨터,레이스 피케 반팔 셔츠 (블랙),https://www.musinsa.com/app/goods/1482292,노이어,N22STS03-BK,남,2024 SS,1달간 1.4천 회 이상 조회,1년간 200개 이상 구매,49300,42%,"https://noirer.hgodo.com/EVENT/EVENT-1.jpg, https://noirer.hgodo.com/2023SS/EVENT-1.jpg, https://noirer.hgodo.com/2023SS/TS/N22STS03-BK/CELEBRITY-1.jpg, https://noirer.hgodo.com/2023SS/TS/N22STS03-BK/SUPPORT-1.jpg, https://noirer.hgodo.com/2023SS/TS/N22STS03-BK/LOOK-1.jpg, https://noirer.hgodo.com/2023SS/TS/N22STS03-BK/LOOK-2.jpg, https://noirer.hgodo.com/2023SS/MODEL-HS-SPEC-50.jpg, https://noirer.hgodo.com/2023SS/TS/N22STS03-BK/PRODUCT-1.jpg, https://noirer.hgodo.com/2023SS/TS/N22STS03-BK/PRODUCT-2.jpg, https://noirer.hgodo.com/2023SS/TS/N22STS03-BK/PRODUCT-3.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20200611/1482292/1482292_16854995301954_320.jpg, https://image.msscdn.net/thumbnails/snap/images/2024/07/30/6865b60aefd446819a898c9da375caca.jpg?w=390, https://image.msscdn.net/thumbnails/snap/images/2024/07/29/d38da2753a024296bb9470ec88661669.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/06/25/d1c1e7d080814248b0a104dcc0ef89f8.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/06/19/11caeaf5055342bba55a4fff9f5e2fc2.jpg?w=390"
니트/스웨터,RIBBED CUT OUT KNIT_BLACK,https://www.musinsa.com/app/goods/2352934,닉앤니콜,NWG1KN006BK,여,2022 SS,1달간 300회 이상 조회,1년간 1.1천 개 이상 구매,48300,30%,"https://tcloud.hgodo.com/N_W_2022/w0210_top.jpg, https://tcloud.hgodo.com/N_W_2022/w0210_33_1.jpg, https://tcloud.hgodo.com/N_W_2022/w0210_33_2.jpg, https://tcloud.hgodo.com/N_W_2022/w0210_33_3.jpg, https://tcloud.hgodo.com/N_W_2021/notice_1.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20220210/2352934/2352934_2_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/02/11/61122b74743b4344b1f505fc2c7b0a08.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/09/09/ea6326e82c8843c499de27e65f6d5984.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2023/04/08/845e6d54d2e14690ba58acd1d3da72e3.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2022/12/04/53515830a52747caa489712d2c01552a.jpg?w=390"
니트/스웨터,크루넥 리브 니트 스웨터_그레이,https://www.musinsa.com/app/goods/2916868,블론드나인,20FW-NC_006,공용,2022 FW,1달간 1천 회 이상 조회,1년간 4.7천 개 이상 구매,32100,51%,"https://image.musinsa.com/images/prd_img/2023022409492100000097188.jpg, https://image.musinsa.com/images/prd_img/2023022409495200000063648.jpg, https://image.musinsa.com/images/prd_img/2023022409492700000057281.jpg, https://image.musinsa.com/images/prd_img/2023022409500600000072379.jpg, https://image.musinsa.com/images/prd_img/2023022409501800000032051.jpg, https://image.musinsa.com/images/prd_img/2023022409502800000025271.jpg, https://image.musinsa.com/images/prd_img/2023022409504000000018905.jpg, https://image.musinsa.com/images/prd_img/2023022409505300000028632.jpg, https://image.musinsa.com/images/prd_img/2023022409510100000041321.jpg, https://image.musinsa.com/images/prd_img/2023022409511000000042712.jpg","https://image.msscdn.net/thumbnails/images/goods_img/20221102/2916868/2916868_3_320.jpg, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/06/11/5992767f2fe049a4a5e37609abb25244.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/05/14/f3cecec93ba24f1692c9e50cf55bd1ef.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/05/08/95e6a192e35b4e3f9a170e95c3f39cd5.jpg?w=390, https://image.msscdn.net/thumbnails/display/images/usersnap/2024/03/27/c7abe0d207f5439da187798088e84289.jpg?w=390"
